what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1783370395205
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1783370395206
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1783370395207
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1783370395207
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1783370395208
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1783370395209
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1783370395209
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1783370395210
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1783370395217
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1783370395218
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1783370395219
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1783370395220
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1783370395221
started,bundle,com.altera.sbtgui.integration,13.13.0.132,"com.altera.sbtgui.integration",1783370395221
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1783370395222
started,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1783370395222
started,bundle,com.altera.systemconsole,13.13.0.132,"com.altera.systemconsole",1783370395223
started,bundle,com.altera.systemconsole.designs.plugin,13.13.0.132,"com.altera.systemconsole.designs.plugin",1783370395223
started,bundle,com.altera.utilities,13.13.0.132,"com.altera.utilities",1783370395223
os,sysinfo,,,"win32",1783370395224
arch,sysinfo,,,"x86",1783370395224
ws,sysinfo,,,"win32",1783370395224
locale,sysinfo,,,"pt_BR",1783370395224
processors,sysinfo,,,"12",1783370395224
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1783370395224
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1783370395224
java.specification.name,sysinfo,,,"Java Platform API Specification",1783370395224
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1783370395224
java.specification.version,sysinfo,,,"1.6",1783370395224
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1783370395224
java.version,sysinfo,,,"1.6.0_23",1783370395224
java.vm.info,sysinfo,,,"mixed mode",1783370395224
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1783370395224
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1783370395224
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1783370395224
java.vm.specification.version,sysinfo,,,"1.0",1783370395224
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1783370395224
java.vm.version,sysinfo,,,"19.0-b09",1783370395225
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1783370405180
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1783370409746
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1783370411411
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1783370413457
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1783370416334
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1783370416860
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1783370416886
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1783370419094
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1783370419436
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1783370422148
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1783370425257
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1783370425261
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1783370425261
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1783370425262
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1783370425302
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1783370427489
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1783370431112
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1783370431114
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1783370444712
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1783370520385
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1783370521210
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1783370524836
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1783370539325
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1783370542378
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1783370591672
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1783370595879
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1783370599145
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1783370599151
opened,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1783370602487
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1783370602905
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1783370602914
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1783370629610
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1783370631638
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1783370645420
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1783370646878
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1783370697448
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1783370699683
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1783370706869
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1783370714782
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1783372023557
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1783372024075
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1783372024401
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1783372052474
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1783372053296
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1783372054741
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1783372056984
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1783372062007
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1783372066998
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1783372069045
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1783372073774
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1783372076559
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1783372079396
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1783372079585
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1783372079590
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1783372087975
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1783372167228
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1783372210598
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1783372211292
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1783372224866
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1783372227321
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1783372848025
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1783372848029
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1783372848561
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1783372848882
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1783372985419
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1783372989675
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1783372991779
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1783372995996
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1783373039612
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1783373039616
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1783373039620
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1783373043031
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1783373045723
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1783373048640
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1783373048831
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1783373048833
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1783373057502
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1783373072660
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1783373683061
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1783373683066
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1783373683806
